Name,ReleaseDate,Average Price,URL,Woman,ReleasePrice,Cluster,Collab,brand
Jordan 9 Retro Bentley Ellis (Crawfish),3581,240000.0,2904,0,208900,18,0,33
Jordan 4 Retro Black Cement 2012,3576,405600.0,2907,0,208900,14,0,33
Jordan 9 Retro Photo Blue,3210,211750.0,2922,0,208900,26,0,33
Jordan 9 Retro Calvin Bailey,3567,220000.0,2929,0,208900,14,0,33
Jordan 9 Retro Olive 2012,3560,360000.0,2944,0,208900,26,0,33
Nike Zoom Kobe 7 System Yin and Yang,3561,555000.0,2947,0,182800,1,0,45
Nike Air Foamposite One Pearlized Pink,3556,478666.6666666667,2950,0,287200,27,0,45
Nike LeBron X Dunkman,3557,229000.0,2952,0,235000,14,0,45
Jordan 9 Retro Slim Jenkins,3553,220000.0,2960,0,208900,20,0,33
Jordan 1 Retro High Green Gucci,3546,342500.0,2967,0,143600,9,0,33
Nike LeBron X Carbon,3544,176000.0,2971,0,209000,20,0,45
Jordan 9 Retro Cool Grey 2012,3532,256333.3333333333,3000,0,208900,27,0,33
Jordan 11 Retro Bred 2012,3526,337800.0,3009,0,235000,28,0,33
Jordan 4 Retro Thunder 2012,3525,579800.0,3012,0,208900,20,0,33
Nike LeBron X Christmas,3521,189000.0,3016,0,235000,20,0,45
Nike Kobe 8 Christmas 2012,3521,600000.0,3017,0,195800,11,0,45
Nike LeBron X Prism,3516,224000.0,3024,0,235000,14,0,45
Jordan 1 Mid True Blue Cement Grey,3516,230000.0,3034,0,137100,3,0,33
New Balance 580 Fingercroxx,3515,195000.0,3083,0,189300,33,0,44
Converse x Mastermind All Star 100 Hi,3515,366666.6666666667,3085,0,0,16,1,18
Jordan 1 Retro High OG Knicks,3511,320000.0,3100,0,182800,9,0,33
Jordan 13 Retro Bred 2013,3504,304000.0,3106,0,221900,20,0,33
Nike Air Force 1 Low Photo Blue Hyper Red,3504,199000.0,3108,0,117500,19,0,45
Jordan 5 Retro Fire Red 2013,3490,238800.0,3120,0,208900,10,0,33
Nike Kobe 8 System Black History Month,3490,658000.0,3121,0,208900,1,0,45
Nike LeBron X Black History Month,3491,213000.0,3125,0,261100,20,0,45
Nike Dunk Low Pro SB BHM,3484,359000.0,3130,0,110900,22,0,45
Jordan 3 Retro White Cement ('88 Dunk Contest 2013),3479,483800.0,3142,0,261100,32,0,33
Jordan 13 Retro Squadron Blue,3476,197500.0,3149,0,221900,14,0,33
Nike Air Foamposite One Fighter Jet,3476,335000.0,3154,0,306800,14,0,45
Nike Lunar Force 1 Fuse Area 72,3470,211500.0,3167,0,195800,22,0,45
Nike Barkley Posite Max All-Star Rayguns,3470,237500.0,3170,0,326400,14,0,45
Jordan 3 Retro Joker,3469,340000.0,3180,0,208900,14,0,33
Jordan 1 Retro Black Royal Blue 2013,3469,655600.0,3181,0,182800,9,0,33
Jordan 1 Retro Night Vision Joker,3469,121000.0,3184,0,150100,9,0,33
Jordan 3 Retro Crimson,3462,218400.0,3191,0,208900,14,0,33
Nike x Atmos Air Max 1 Tiger Camo Snakeskin,3462,659500.0,3193,0,0,5,1,45
Nike LeBron X EXT Cork,3462,454500.0,3196,0,326400,17,0,45
Nike Air Foamposite One Phoenix Suns,3455,319000.0,3206,0,287200,14,0,45
Nike Dunk SB High Pro St. Patty's Day,3440,310000.0,3226,0,124000,9,0,45
Nike Air Maxim 1 Camo Germany SP Camo,3425,729000.0,3256,0,169700,24,0,45
Jordan 1 Retro High OG Celtics,3420,434800.0,3262,0,182800,3,0,33
Reebok Shaq Attaq Orlando 2013,3407,284000.0,3280,0,208900,27,0,52
Nike Dunk SB Low Concord,3406,200000.0,3286,0,110900,24,0,45
Reebok x SNS Instapump Fury Legal Issues,3402,154000.0,3298,0,228500,25,1,52
Nike Kobe 8 System Elite Superhero,3399,690000.0,3307,0,261100,24,0,45
Jordan 1 Mid Matte Silver Purple,3395,169500.0,3309,0,137100,17,0,33
Nike Flyknit Racer University Red,3396,199000.0,3313,0,195800,6,0,45
Jordan 5 Retro Grape 2013,3392,334800.0,3317,0,208900,18,0,33
Jordan 8 Retro Phoenix Suns,3378,224800.0,3335,0,208900,20,0,33
Nike Barkley Posite Max Suns,3378,100000.0,3338,0,306800,20,0,45
Nike LeBron X Elite Total Crimson,3357,258600.0,3378,0,339400,2,0,45
Nike Air Foamposite Pro Army Camo,3357,362250.0,3379,0,326400,20,0,45
Nike Dunk PRM Low Viotech 2013,3357,295600.0,3380,0,130500,33,0,45
Jordan 5 Retro Black Grape 2013,3350,349800.0,3386,0,208900,20,0,33
Nike LeBron X Low University Red,3350,99666.66666666669,3392,0,215400,33,0,45
Nike Flyknit Racer Oreo,3344,217600.0,3400,0,195800,5,0,45
Nike SB Dunk Low MIA Skate Shop,3344,500000.0,3401,0,127900,24,0,45
Adidas x Mastermind Superstar 80s Black,3332,350000.0,3435,0,0,19,1,2
Reebok Shaqnosis OG Black White 2013,3324,145000.0,3447,0,150100,14,0,52
Jordan 1 Retro High OG Shadow 2013,3322,445600.0,3450,0,182800,9,0,33
Jordan 1 Retro Sonics,3315,330000.0,3457,0,137100,3,0,33
Nike LeBron X EXT Black Suede,3315,224000.0,3459,0,326400,28,0,45
Jordan 4 Retro Fear Pack,3280,767800.0,3513,0,228500,14,0,33
Jordan 3 Retro Fear Pack,3280,320000.0,3514,0,228500,14,0,33
Jordan 5 Retro Fear Pack,3280,403000.0,3515,0,208900,20,0,33
Nike Kobe 8 System Graffiti,3282,600000.0,3517,0,179000,24,0,45
Reebok Shaq Attaq Azure Blue,3275,176333.33333333334,3529,0,208900,26,0,52
Jordan 5 Retro Fire Red Black Tongue 2013,3273,333000.0,3531,0,208900,18,0,33
Nike Air Foamposite One Weatherman,3273,340666.6666666667,3535,0,326400,27,0,45
New Balance x Concepts 998 C-Note,3260,600000.0,3566,0,195800,24,1,44
Nike Air Foamposite One Thermal Map,3245,325500.0,3578,0,326400,27,0,45
Jordan 1 Retro '95 TXT Concord,3239,189000.0,3593,0,159000,17,0,33
Jordan XX8 SE UNC Camo,3232,164500.0,3610,0,195800,27,0,33
Jordan 10 Retro Steel 2013,3231,292000.0,3614,0,221900,17,0,33
Nike LeBron 11 King's Pride,3232,235000.0,3615,0,209000,14,0,45
Nike Dunk High Send Help 2,3213,226666.66666666663,3646,0,150100,9,0,45
Nike LeBron 11 Away,3211,298800.0,3651,0,261100,20,0,45
Jordan 5 Retro Laney 2013,3210,293600.0,3658,0,221900,32,0,33
Jordan 1 Retro High OG Laney,3196,540400.0,3676,0,182800,17,0,33
Nike LeBron 11 Gamma Blue,3196,196333.3333333333,3678,0,261100,18,0,45
Nike LeBron 11 Terracotta Warrior,3185,169000.0,3697,0,261100,20,0,45
Jordan 5 Retro Oreo,3183,275800.0,3702,0,221900,9,0,33
Nike SB Dunk Low Premium SB Primitive 112,3183,351600.0,3703,0,127900,18,0,45
Nike Air Force 1 Low Black Green Glow,3183,220000.0,3706,0,130500,19,0,45
Reebok Shaq Attaq Brick City,3183,144500.0,3711,0,208900,26,0,52
Nike KD 6 EXT Gum,3176,130000.0,3733,0,169700,21,0,45
Nike Air Zoom Flight 98 The Glove Sole Collector Sonic Wave,3175,229000.0,3734,0,195800,14,0,45
New Balance x Saint Alfred 1500,3175,160000.0,3739,0,221900,33,1,44
Adidas Crazy 8 Nightmare Before Christmas,3162,179000.0,3756,0,163200,14,0,2
Nike Air Foamposite Pro Area 72 Asteroid,3162,379750.0,3757,0,326400,14,0,45
Nike Air Force 1 Low Waterproof,3162,235000.0,3775,0,0,33,0,45
Nike Kobe 8 System SS Christmas 2013,3157,546666.6666666666,3784,0,208900,11,0,45
Nike LeBron 11 Christmas,3156,263500.0,3787,0,261100,17,0,45
Nike Air Foamposite One Oregon Ducks,3152,440000.0,3800,0,326400,20,0,45
Jordan 5 Retro 3Lab5 Infrared,3151,187000.0,3802,0,293700,20,0,33
Nike Dunk SB High Chinese New Year,3133,170000.0,3914,0,141000,2,0,45
Nike Air Tech Challenge II Hot Lava 2014,3127,204500.0,3921,0,156600,17,0,45
Jordan 10 Retro Cool Grey Black,3126,211600.0,3923,0,221900,20,0,33
Nike Air Tech Challenge II Australian Open 2014,3120,190000.0,3935,0,195800,18,0,45
Jordan XX8 SE Cool Grey,3119,120000.0,3944,0,195800,14,0,33
Nike LeBron 11 NSW Lifestyle Black History Month QS,3119,50000.0,3946,0,169700,2,0,45
Nike LeBron 11 Knicks,3114,194000.0,3955,0,261100,21,0,45
Asics x Extra Butter Gel-Lyte V Snake Charmer,3113,95000.0,3957,0,202300,6,1,4
Nike Air Foamposite Pro Spider-Man,3112,390000.0,3962,0,326400,14,0,45
Nike Kobe 9 Elite Masterpiece,3113,459000.0,3964,0,287200,26,0,45
Nike LeBron 11 NOLA Gumbo League Gator King,3106,316200.0,3972,0,287200,3,0,45
Nike Air Force 1 Low NOLA Gumbo League Crescent City,3106,180000.0,3974,0,208900,22,0,45
Nike KD 6 NOLA Gumbo League Illusion,3106,210000.0,3975,0,195800,1,0,45
Nike Kobe 9 Elite Gumbo League Maestro,3106,433000.0,3976,0,293700,26,0,45
Jordan 6 Retro Infrared White 2014,3105,350200.0,3985,0,221900,17,0,33
Jordan 6 Retro Infrared 23 Toro,3105,286000.0,3986,0,221900,2,0,33
Jordan XX8 SYN Bamboo,3104,377000.0,3989,0,326400,32,0,33
Jordan 10 Retro Powder 2014,3098,217400.0,3994,0,221900,18,0,33
Nike Air Flightposite Carbon Fiber 2014,3099,348000.0,3997,0,274200,20,0,45
Nike KD 6 Aunt Pearl,3091,282000.0,4012,0,195800,25,0,45
Nike Air Foamposite One Silver Volt Camo,3091,190400.0,4016,0,326400,17,0,45
Nike Kobe 9 Elite Inspiration,3091,289000.0,4018,0,293700,26,0,45
Jordan 3 Retro Infrared 23,3084,358400.0,4032,0,221900,18,0,33
New Balance x Nice Kicks 1600 Grand Anse,3078,130000.0,4041,0,228500,24,1,44
Jordan 1 KO High OG Chicago,3077,385800.0,4042,0,182800,3,0,33
Jordan 1 SB Craig Stecyk Black Silver,3077,257800.0,4044,0,195800,9,0,33
Nike KD 6 EXT QS Floral,3077,103000.0,4045,0,195800,19,0,45
Reebok x Packer x Stash Instapump Fury,3077,140000.0,4048,0,241500,1,1,52
Jordan 9 Retro Barons,3056,274600.0,4099,0,221900,18,0,33
Jordan 1 Retro Barons,3056,527800.0,4100,0,182800,3,0,33
Nike Dunk Lux Low Arctic Orange,2051,344000.0,9327,0,182800,0,0,45
Nike Dunk Low Lux Vachetta Tan,2051,150000.0,9328,0,182800,0,0,45
Jordan 1 Retro High Rare Air Max Orange,2048,251400.0,9333,0,182800,3,0,33
Jordan XXXI Black Toe,2048,222600.0,9334,0,241500,24,0,33
Jordan 1 Retro Mid Wolf Grey Cool Grey,2035,113000.0,9389,0,143600,17,0,33
Jordan 13 Retro Black Cat,2034,383800.0,9400,0,248000,20,0,33
Nike x Comme des Garcons Air Pegasus 83 Black White,2033,220600.0,9403,0,235000,22,1,45
Adidas Harden Vol. 1 BHM,2032,140000.0,9404,0,182800,18,0,2
Nike x Stone Island Sock Dart Mid Obsidian,2029,209600.0,9428,0,261100,14,1,45
Nike x Stone Island Sock Dart Mid Black,2029,218800.0,9429,0,261100,8,1,45
Nike SB Zoom Dunk Low Pro Reverse Shark,2029,309000.0,9430,0,117500,5,0,45
Nike Air Zoom Spiridon Ultra Metallic Silver Desert Red,2028,176400.0,9437,0,182800,12,0,45
Jordan 8 Retro Take Flight,2027,228000.0,9441,0,248000,20,0,33
Nike Zoom KD 9 PRM Aunt Pearl,2028,144500.0,9451,0,195800,22,0,45
Nike x Undercover SFB Jungle Dunk Black,2027,275000.0,9452,0,326400,28,1,45
Nike x Undercover SFB Jungle Dunk White,2027,686200.0,9453,0,326400,27,1,45
Adidas Tubular Doom Yin Yang Pack Black,2025,50000.0,9459,0,195800,23,0,2
Adidas Ultraboost 3.0 Oreo,2023,177600.0,9486,0,235000,0,0,2
Nike Air Zoom Talaria '16 Volt 2017,2023,100000.0,9492,0,182800,21,0,45
Jordan 1 Retro High OG Black Perforated,2020,230400.0,9513,0,208900,20,0,33
Jordan 1 Retro White Perforated,2020,236800.0,9514,0,208900,31,0,33
Jordan 4 Retro Royalty,2020,434600.0,9515,0,248000,14,0,33
Vans Vault x Undercover OG Era White,2020,70000.0,9530,0,169700,31,1,61
Vans Vault x Undercover OG Old Skool LX Light Grey,2020,219000.0,9531,0,195800,0,1,61
Vans Vault x Undercover OG Old Skool LX Bordeaux,2020,85000.0,9532,0,195800,11,1,61
Vans Vault x Undercover OG Era Black,2020,127250.0,9533,0,169700,7,1,61
Vans Vault x Undercover OG Era Red,2020,110000.0,9534,0,169700,7,1,61
Adidas x SNS x Social Status Ultraboost 1.0 White Black,2016,127000.0,9539,0,261100,12,1,2
Jordan 3 Retro Golf White Cement,2014,470000.0,9543,0,261100,24,0,33
Jordan 1 Retro Golf Cleat White Metallic,2014,710000.0,9544,0,261100,17,0,33
Nike x Riccardo Tisci Dunk Lux Chukka White Red,2014,202000.0,9551,0,326400,0,1,45
Nike x Riccardo Tisci Dunk Lux Chukka White Black,2014,238333.3333333333,9552,0,326400,0,1,45
Nike x Riccardo Tisci Dunk Lux Chukka Black,2014,194600.0,9553,0,326400,20,1,45
Adidas Yeezy Boost 350 V2 Black Red 2017,2014,431600.0,9561,0,287200,8,0,2
(Infant) Adidas Yeezy Boost 350 V2 Black Red 2017,2013,251600.0,9562,0,182800,13,0,2
Nike x Acronym Air Force 1 Downtown High SP Black White,2013,399500.0,9567,0,326400,30,1,45
Jordan 1 Retro High BHM 2017,2008,284000.0,9578,0,195800,20,0,33
Y-3 Pureboost Triple White,2008,329400.0,9582,0,378600,31,0,62
Nike Kyrie 3 BHM Black White,2008,179000.0,9587,0,156600,14,0,45
Adidas x kolor Ultraboost 3.0 Kolor,2007,290000.0,9601,0,326400,8,1,2
Nike SF Air Force 1 Desert Camo,2007,210400.0,9603,0,235000,2,0,45
Jordan 13 Retro OG Chicago 2017,2006,281200.0,9614,0,248000,18,0,33
Jordan 1 Retro All Star 2017 Chameleon,2005,495400.0,9629,0,228500,3,0,33
Jordan 6 Retro All Star 2017 Chameleon,2005,228400.0,9630,0,293700,20,0,33
Jordan XXXI All Star 2017 Chameleon,2006,231750.0,9631,0,261100,20,0,33
Adidas NMD R1 Triple White,2001,139000.0,9641,0,169700,31,0,2
Nike Air Penny IV Orlando Home 2017,2001,195000.0,9643,0,208900,14,0,45
Jordan 8 Retro Alternate,1999,237000.0,9651,0,248000,18,0,33
Nike x J.Crew Killshot 2 Sail Midnight Navy,1999,92000.0,9655,0,109000,32,1,45
Jordan 1 Retro Mid White 2017,1995,153000.0,9661,0,143600,31,0,33
Adidas Iniki Runner Collegiate Navy,1996,120000.0,9668,0,169700,12,0,2
Jordan 15 Retro Obsidian,1993,232000.0,9709,0,248000,23,0,33
Nike Air Max 1 Anniversary Red 2017,1992,331800.0,9717,0,182800,24,0,45
Reebok x Atmos x Packer Instapump Fury Doraemon,1992,206666.66666666663,9722,0,248000,15,1,52
Nike Flyknit Racer Triple White,1989,255750.0,9735,0,195800,31,0,45
Nike SB Zoom Dunk Low Elite Grey Obsidian,1987,175000.0,9741,0,143600,24,0,45
Jordan XXXI Black Cat,1986,227000.0,9748,0,241500,20,0,33
Nike Flyknit Racer Blue Glow ,1987,129500.0,9752,0,195800,6,0,45
Asics Gel-Respector Japanese Garden Taupe,1986,65000.0,9757,0,169700,25,0,4
Asics Gel-Respector Japanese Garden Ink,1986,40000.0,9758,0,169700,15,0,4
Jordan 6 Retro Alternate,1986,206400.0,9761,0,229000,32,0,33
Nike Air Max 1 Ultra Air Max Day Red 2017,1980,169000.0,9781,0,156600,24,0,45
(W) Nike Air Max 1 Ultra 2.0 LE White Red 2017,1980,124500.0,9783,1,156600,0,0,45
Nike Air Foamposite Pro Silver Surfer,1979,388400.0,9788,0,326400,27,0,45
Asics x Diseney Gel-Lyte III Beauty and the Beast Coffee,1979,48000.0,9794,0,208900,6,1,4
Nike Air VaporMax Pure Platinum,1971,357000.0,9839,0,248000,18,0,45
(W) Nike Air VaporMax Flyknit University Red,1971,278000.0,9841,1,248000,24,0,45
Jordan 4 Retro Motorsports 2017,1970,468800.0,9844,0,248000,18,0,33
Nike Air Max 97 Mid Riccardo Tisci,1970,153000.0,9846,0,261100,9,0,45
Nike Air VaporMax Flyknit OG University Red,1970,458000.0,9847,0,248000,24,0,45
Nike Air Max LD Zero Pure Platinum,1970,223000.0,9848,0,235000,32,0,45
Nike Air VaporMax Triple Black,1970,250000.0,9850,0,248000,22,0,45
Nike Air VaporMax Marc Newson,1970,424000.0,9851,0,359000,27,0,45
(W) Nike Air VaporMax Flyknit Pure Platinum,1970,371800.0,9854,1,248000,18,0,45
Nike Air Footscape Woven Chukka Flat Gold,1969,285000.0,9860,0,235000,25,0,45
Adidas Yeezy Powerphase Calabasas Core White,1968,249200.0,9861,0,156600,31,0,2
Nike Air Woven Rainbow 2017,1967,137800.0,9864,0,208900,0,0,45
Adidas Ultraboost 3.0 Black,1966,119000.0,9867,0,261100,12,0,2
Jordan 1 Retro Low OG Black Vachetta,1964,174500.0,9873,0,182800,5,0,33
Jordan 1 Retro Blue Suede,1964,219000.0,9874,0,182800,14,0,33
Jordan 1 Retro Low OG Ice Blue,1964,253000.0,9875,0,182800,24,0,33
Jordan 1 Retro Low OG Premium White Tan,1964,424000.0,9876,0,182800,31,0,33
Jordan 1 Retro Royal 2017,1964,439000.0,9886,0,208900,9,0,33
Jordan XXXI Royal,1964,174500.0,9887,0,241500,14,0,33
Adidas x Alexander Wang B-Ball Black,1964,190000.0,9892,0,339400,9,1,2
Adidas Stan Smith White Green,1965,127000.0,9893,0,117500,0,0,2
Adidas x Alexander Wang AW Skate Sand,1964,50000.0,9894,0,235000,1,1,2
Adidas x Alexander Wang AW Skate Light Grey,1965,300000.0,9897,0,235000,21,1,2
Adidas x Alexander Wang B-Ball Cream,1964,315800.0,9898,0,339400,17,1,2
Nike Kobe A.D. NXT Volt,1965,229000.0,9905,0,261100,21,0,45
Nike Air Max 90 Ultra Flyknit 2.0 Black,1945,183333.3333333333,9917,0,219000,6,0,45
(W) Adidas NMD CS2 PK Ronin Polka Dot,1960,47000.0,9937,1,269000,12,0,2
(W) Adidas NMD R2 PK Ronin Polka Dot ,1960,48000.0,9942,1,221900,12,0,2
Nike PG 1 Ivory,1959,180000.0,9944,0,143600,32,0,45
Nike Kobe A.D. Light Bone,1960,289000.0,9948,0,208900,32,0,45
Converse x Neighborhood One Star Ox Black,1959,206000.0,9957,0,130500,11,1,18
Nike Air More Uptempo 96 Bulls 2017,1958,214400.0,9972,0,208900,14,0,45
Jordan 13 Retro Low Brave Blue,1957,255200.0,9973,0,228500,14,0,33
Adidas Ultraboost Uncaged Haven Triple Black,1957,110000.0,9976,0,261100,8,0,2
Nike Air Force 1 Low PRM Jewel Sail,1953,245800.0,9986,0,195800,32,0,45
Nike Air Max Plus Silver Bullet,1952,300000.0,9987,0,195800,24,0,45
Nike Air Max 95 Silver Bullet,1952,205800.0,9988,0,208900,25,0,45
Nike Air Max Zero Silver Bullet,1952,100000.0,9989,0,195800,25,0,45
Nike Air Force 1 Low Jewel Silt Red,1952,159000.0,9990,0,195800,0,0,45
Nike Air Force 1 Retro Jewel Mushroom,1952,180000.0,9993,0,195800,24,0,45
Nike PG 1 Black Ice,1951,159000.0,10007,0,143600,23,0,45
Asics x Commonwealth Gel-Lyte V Kultura,1951,75000.0,10011,0,208900,31,1,4
Jordan 11 Retro Low University Blue 2017,1950,299800.0,10013,0,228500,24,0,33
Adidas x Alexander Wang Run Solid Grey,1950,100000.0,10018,0,300300,16,1,2
Adidas x Alexander Wang Run White,1950,183600.0,10019,0,300300,31,1,2
(W) Adidas Iniki Runner Energy,1946,68000.0,10051,1,156600,33,0,2
Nike Air Max 90 Ultra 2.0 Flyknit Triple White,1945,154000.0,10056,0,208900,31,0,45
Nike Air Foamposite One Copper 2017,1944,288600.0,10068,0,300300,2,0,45
Nike Air VaporMax Asphalt,1938,288400.0,10097,0,248000,5,0,45
Nike Air Shake NDestrukt Black White,1937,203800.0,10115,0,182800,20,0,45
Nike Air Shake NDestrukt White Red,1937,165000.0,10116,0,182800,18,0,45
Jordan 7 Retro Pantone,1936,213600.0,10117,0,248000,17,0,33
(Infant) Adidas Yeezy Boost 350 V2 Cream White,1936,207800.0,10126,0,182800,31,0,2
Jordan 6 Rings Cool Grey,1934,172500.0,10128,0,215400,16,0,33
Nike Air Max 1 Pinnacle Mushroom,1935,130000.0,10143,0,208900,25,0,45
Nike x Comme des Garcons Air Pegasus 83 Black Gold,1933,241600.0,10160,0,235000,8,1,45
Jordan Trunner LX Black Red 2017,1932,177500.0,10163,0,182800,8,0,33
Adidas x SNS Superstar Boost Shades of White V2,1932,80000.0,10168,0,169700,31,1,2
Nike Air More Uptempo Night Maroon,1930,251400.0,10182,0,221900,14,0,45
Nike PG 1 Flip the Switch,1931,125000.0,10183,0,143600,14,0,45
Nike Kobe A.D. NXT White Black,1931,250000.0,10190,0,261100,31,0,45
Jordan 1 Retro Metallic Red 2017,1929,434800.0,10196,0,208900,17,0,33
Puma x Staple Clyde Black,1929,47666.66666666666,10204,0,156600,11,1,51
Vans Old Skool Flame Black 2017,1925,129800.0,10210,0,78300,7,0,61
Nike Air Flight Bonafide Black White,1924,178000.0,10219,0,195800,16,0,45
Nike x Stone Island Sock Dart Mid Sequoia,1924,172600.0,10222,0,182800,12,1,45
Nike SB Dunk High Mulder,1924,274750.0,10228,0,143600,31,0,45
New Balance 997 Made in USA White Blue,1916,150000.0,10307,0,259000,25,0,44
Nike SB Dunk Low Wheat,1910,356600.0,10315,0,130500,21,0,45
Nike Air More Uptempo Triple White,1909,322800.0,10320,0,208900,31,0,45
Nike Air Max Uptempo 95 Triple White,1909,147000.0,10322,0,195800,31,0,45
Nike KD 9 Elite Dark Grey Hyper Orange,1909,134500.0,10323,0,195800,14,0,45
Nike KD 10 LMTD Anniversary,1909,209666.66666666663,10324,0,195800,24,0,45
Vans Vault x Anti Social Social Club x DSM OG Authentic LX White Pink,1909,150000.0,10327,0,117500,31,1,61
Nike LeBron 11 Elite Team,3050,249000.0,4122,0,360300,18,0,45
Jordan 2 Retro Infrared Cement,3049,196200.0,4126,0,209600,19,0,33
Jordan 11 Retro Low Green Snakeskin,3042,453000.0,4142,0,196500,19,0,33
Nike Air Foamposite Pro Yeezy,3042,319600.0,4145,0,327500,20,0,45
Reebok Instapump Fury Tricolor,3036,211200.0,4153,0,229200,23,0,52
Nike SB Dunk Low Hackey Sack,3035,269000.0,4157,0,117900,5,0,45
Nike Air Max 98 Cool Grey Volt,3035,180000.0,4158,0,209600,24,0,45
Nike SB Dunk Low Pro Bred,3030,409800.0,4165,0,111300,5,0,45
Nike SB Dunk High Pro Royal,3030,196333.3333333333,4169,0,124400,9,0,45
Nike Air Max 98 Team Orange,3031,219000.0,4176,0,209600,24,0,45
Jordan 11 Retro Low Concord,3028,529800.0,4181,0,196500,24,0,33
Nike LeBron 11 Elite Hero,3022,259500.0,4197,0,360300,2,0,45
Nike Kobe 9 Elite Hero Draft Day Expression,3022,296333.3333333333,4198,0,294800,18,0,45
Jordan 2 Retro Dark Concord,3021,161800.0,4200,0,196500,18,0,33
Nike Dunk SB High Hackey Sack,3021,236000.0,4201,0,144100,14,0,45
Jordan 3 Retro 5Lab3 Black,3014,175000.0,4210,0,294800,20,0,33
Jordan Future Dark Army Camo,3014,118000.0,4211,0,242400,9,0,33
Jordan 6 Retro Carmine 2014,3007,273000.0,4228,0,222700,18,0,33
Jordan 1 Retro Carmine 2014,3007,363000.0,4229,0,183400,17,0,33
Jordan 2 Retro Iron Purple,3007,164500.0,4230,0,196500,18,0,33
Jordan Future Varsity Royal,3005,90000.0,4235,0,196500,14,0,33
Nike LeBron 11 Everglades,3000,169666.66666666666,4243,0,262000,14,0,45
Nike Blazer Mid Floral Pack Chicago,3000,131333.33333333334,4244,0,131000,16,0,45
Nike Kobe 9 Elite Gold Fundamentals,2994,358000.0,4262,0,294800,18,0,45
Jordan 2 Retro White Red 2014,2993,224200.0,4266,0,196500,17,0,33
Jordan 1 x Lance Mountain Retro SB Black,2993,488600.0,4267,0,196500,9,1,33
Nike Lil Penny Posite Hyper Jade,2993,99000.0,4271,0,235800,20,0,45
Jordan 11 Retro Low Infrared,2986,340600.0,4276,0,196500,19,0,33
Jordan 1 Retro High Family Forever,2986,197666.66666666663,4277,0,183400,9,0,33
Jordan 6 Retro Champagne,2986,350800.0,4278,0,327500,20,0,33
Jordan 6 Retro Cigar,2986,367600.0,4279,0,327500,20,0,33
Nike KD 6 What the KD,2986,269200.0,4284,0,196500,1,0,45
Nike LeBron 11 South Beach,2979,177800.0,4299,0,262000,14,0,45
Jordan 1 Retro High OG Gym Red,2972,473333.3333333333,4312,0,183400,9,0,33
Nike KD 7 USA,2972,167333.33333333334,4314,0,196500,21,0,45
Nike Kobe 9 EM Low Indpendence Day,2973,350000.0,4316,0,209600,22,0,45
Vans Authentic Golden Coast Checkerboard,2970,44400.0,4327,0,65000,7,0,61
Jordan 14 Retro Thunder,2967,269600.0,4334,0,222700,20,0,33
Nike Air Force 1 Low Tisci Black,2953,390600.0,4365,0,301300,22,0,45
Nike x Riccardo Tisci Air Force 1 Mid SP Black,2956,327500.0,4366,0,340600,26,1,45
Vans x Golf Wang Old Skool Pro S Blue Pink ,2951,249000.0,4372,0,0,24,1,61
Jordan 3 Retro Wolf Grey,2951,237200.0,4373,0,222700,27,0,33
Jordan Future Premium Metallic Silver,2944,189000.0,4380,0,242400,17,0,33
